Name,Street Address,City,State,Zip,Country,Lat,Long
Spotify USA Inc,45 W. 18th Street,New York,NY,10011,USA,40.739675,-73.994042
Spotify Australia PTY. Ltd.,120 Chalmers Street,Surry Hills,,,Australia,-33.886819,151.206959
Spotify Belgium,Kammenstraat 18,Antwerp,,2000,Belgium,51.218054,4.399915
Spotify GmbH,Leipziger Strabe 125,Berlin,,10117,Germany,52.510086,13.383196
Spotify Canada Inc.,179 John St,Toronto,,,Canada,43.650999,-79.391168
Spotify Denmark ApS,Vestergade 27,,,,Denmark,55.677266,12.569639
Spotify Spain S.L,C/ Eloy Gonzalo 27,Madrid,,28010,Spain,40.434673,-3.700535
Spotify Finland Oy,"Merimiehenkatu, 36 D, Helsinki, Finland",,,,,60.159275,24.933953
Spotify France SAS,166 rue du Faubourg Saint Honore,Paris,,,France,48.87375,2.309301
Spotify Italy SRL,Corso Italia 1,Milan,,20122,Italy,45.460119,9.188628
Spotify Netherlands B.V.,Singel 540,Amsterdam,,1017AZ,The Netherlands,52.366511,4.892063
Spotify Norway AS,St. Olavs plass 3,Oslo,,165,Norway,59.917945,10.740617
Spotify Sp. Z o.o.,Warsaw Skylight Skylight Building,Warszawa,,,Poland,52.229676,21.012229
Spotify Sweden AB,Birger Jarlsgatan,Stockholm,,,Sweden,59.342075,18.064819
Spotify Limited,25 Argyll Street,London,,,United Kingdom,51.514997,-0.141261
Spotify Singapore PTE Ltd,42B Boat Quay,,,49831,Singapore,1.286683,103.849553
Spotify Hong Kong,The Lee Gardens,,,,Hong Kong,22.278333,114.184611
Spotify Mexico,Paseo Tamarindos 90,Mexico City,,5120,Mexico,19.386729,-99.252175
